Type,Origin,Introduced,Total,Operators
Armstrong Whitworth Scimitar,United Kingdom,1936,6,Norway (4 as trainers)
Avia B-534,Czechoslovakia,1935,568,"Bulgaria, Germany, Greece, Slovakia"
Avia BH-33,Czechoslovakia[a],1927,180,Poland[a] Yugoslavia
Blériot-SPAD S.510,France,1936,61,
Boeing P-12,United States,1930,586,"Brazil, China, Philippines, Thailand"
Bristol Bulldog,United Kingdom[a],1929,443,"Denmark, Finland"
Curtiss F11C Goshawk,United States,1932,30,China
Curtiss BF2C Goshawk,United States,1933,166,"China, Thailand"
Fairey Firefly IIM,United Kingdom[a],1929,91,Belgium
Fiat CR.30,Italy,1932,176,"Austria, China, Germany, Hungary, Italy"
Fiat CR.32,Italy,1934,"1,052","Hungary, China"
Fiat CR.42 Falco,Italy,1939,"1,817","Hungary, Belgium, Germany, Croatia"
Gloster Gamecock,United Kingdom[a],1926,108,Finland
Gloster Gauntlet,United Kingdom,1935,246,"Denmark, Finland"
Gloster Gladiator,United Kingdom,1937,747,"Belgium, Finland, Greece, Iraq, Lithuania, Norway"
Grumman FF,United States[a],1933,116,Canada
Grumman F2F,United States[a],1935,55,
Grumman F3F,United States[a],1936,147,
Hawker Demon,United Kingdom,1933,305,Australia
Hawker Fury,United Kingdom[a],1931,275,"Yugoslavia, South Africa"
Hawker Nimrod,United Kingdom[a],1933,92,Denmark
Heinkel He 51,Germany[a],1935,700,Bulgaria
IMAM Ro.44,Italy,1937,35,
Kawasaki Ki-10,Japan,1935,588,
Kochyerigin DI-6,Soviet Union,1934,222,
Koolhoven F.K.52,Netherlands,1939,6,Finland (2 aircraft)
Polikarpov I-5,Soviet Union,1931,803,
Polikarpov I-15,Soviet Union,1934,"3,313","China, Finland"
Polikarpov I-153,Soviet Union,1939,"3,437","China, Finland"
Type,Origin,Introduced,Total,Operators
AEKKEA-RAAB R-29,Greece,1937,30,Spain
Ambrosini SAI.207,Italy,1942,14,
Ansaldo A.120,Italy,1925,77,Lithuania
Arsenal VG-33,France,1940,50,
Avia B-135,Czechoslovakia,1941,12,Bulgaria
Bell P-39 Airacobra,United States,1941,"9,588","Australia, France, Soviet Union, United Kingdom"
Bell P-63 Kingcobra,United States,1943,"3,303",Soviet Union
Bloch MB.150,France,1940,683,"Greece, Romania"
Boeing P-26 Peashooter,United States,1933,151,"China, Philippines"
Breda Ba.27,Italy[a],1933,14,China
Brewster F2A Buffalo,United States,1939,509,"Australia, Finland, Netherlands, New Zealand, United Kingdom"
Caudron C.714,France,1940,90,"Finland, exile Poland forces"
CAC Boomerang,Australia,1943,250,
Curtiss P-36,United States,1938,"1,115","Brazil, Finland, France, Netherlands, Norway, Thailand, United Kingdom"
Curtiss P-40 Warhawk,United States,1939,"13,738","Australia, Brazil, Canada, China, Finland, New Zealand, South Africa, Soviet Union, United Kingdom"
Curtiss CW-21,United States,1939,62,"China, Netherlands"
Dewoitine D.500/D.510,France,1935,381,"China, Lithuania"
Dewoitine D.520,France,1940,900,"Bulgaria, Italy"
Fiat G.50 Freccia,Italy,1938,683,"Finland, Croatia"
Fiat G.55 Centauro,Italy,1943,349,
Focke-Wulf Fw 190,Germany,1941,"23,823",Hungary
Focke-Wulf Ta 152,Germany,1945,69,
Fokker D.XXI,Netherlands,1936,148,"Denmark, Finland, Netherlands"
Gloster Gladiator,United Kingdom,1934,"3,317","United Kingdom, China, Finland, Norway, Egypt"
Grumman F4F Wildcat,United States,1940,"7,885",United Kingdom
Grumman F6F Hellcat,United States,1943,"12,275",United Kingdom
Grumman F8F Bearcat,United States,1945,"1,265",
Hawker Hurricane,United Kingdom,1937,"14,487","Belgium, Canada, Finland, France, Greece, India, New Zealand, Soviet Union"
Hawker Tempest,United Kingdom,1944,"1,702",New Zealand
Hawker Typhoon,United Kingdom,1940,"3,317","Canada, New Zealand"
Heinkel He 112,Germany,1937,102,"Romania, Hungary"
IAR 80,Romania,1941,450,
Ilyushin Il-2,Soviet Union,1939,"36,183",
Ikarus IK-2,Yugoslavia,1935,12,Croatia
Kawanishi N1K Kyōfū,Japan,1943,97,
Kawanishi N1K-J Shiden,Japan,1943,"1,413",
Kawasaki Ki-61,Japan,1942,"3,078",
Kawasaki Ki-100,Japan,1945,396,
Koolhoven F.K.58,Netherlands,1940,20,France
Lavochkin-Gorbunov-Gudkov LaGG-1,Soviet Union,1940,100,
Lavochkin-Gorbunov-Gudkov LaGG-3,Soviet Union,1941,"6,528",Finland
Lavochkin La-5,Soviet Union,1942,"9,920",
Lavochkin La-7,Soviet Union,1944,"5,753",
Loire 46,France,1936,61,
Macchi C.200,Italy,1939,"1,513",
Macchi C.202,Italy,1941,"1,150","Croatia, Germany"
Macchi C.205,Italy,1943,262,"Croatia, Germany"
MÁVAG Héja,Hungary,1941,204,
Messerschmitt Bf 109,Germany,1937,"34,248","Bulgaria, Finland, Hungary, Italy, Romania, Yugoslavia"
Mikoyan-Gurevich MiG-1,Soviet Union,1940,103,
Mikoyan-Gurevich MiG-3,Soviet Union,1941,"3,422",
Mitsubishi A5M,Japan,1936,"1,094",
Mitsubishi A6M,Japan,1940,"10,939",
Mitsubishi J2M Raiden,Japan,1942,621,
Morane-Saulnier M.S.406,France,1939,"1,176","Croatia, Finland, Italy, Poland"
Nakajima A6M2-N,Japan,1942,327,
Nakajima Ki-27,Japan,1937,"3,368","Manchukuo, Thailand"
Nakajima Ki-43,Japan,1941,"5,919","Manchukuo, Thailand"
Nakajima Ki-44,Japan,1942,"1,225",
Nakajima Ki-84,Japan,1943,"3,514",
North American P-51 Mustang,United States,1942,"15,588","Australia, Canada, China, France, South Africa, Soviet Union, United Kingdom"
Polikarpov I-16,Soviet Union,1934,"10,292","China, Finland"
PZL P.7,Poland,1933,151,
PZL P.11,Poland,1934,325,Romania
PZL P.24,Poland,1936,184,"Bulgaria, Greece, Romania"
Reggiane Re.2000,Italy,1940,186,Hungary
Reggiane Re.2001,Italy,1941,237,
Reggiane Re.2005,Italy,1943,48,Germany
Republic P-43 Lancer,United States,1941,272,"Australia, China"
Republic P-47 Thunderbolt,United States,1942,"15,636","Brazil, France, Mexico, Soviet Union, United Kingdom"
Rogožarski IK-3,Yugoslavia,1940,13,
Seversky P-35,United States,1937,196,Philippines
Supermarine Seafire,United Kingdom,1942,"2,646",
Supermarine Spitfire,United Kingdom,1938,"20,381","Australia, Canada, France, India, Italy, New Zealand, Norway, South Africa, Soviet Union, United States"
VL Myrsky,Finland,1943,51,
Vought F4U Corsair,United States,1942,"12,571","United Kingdom, New Zealand"
Vultee P-66 Vanguard,United States,1941,146,China
Yakovlev Yak-1,Soviet Union,1940,"8,700",France
Yakovlev Yak-3,Soviet Union,1944,"4,848",France
Yakovlev Yak-7,Soviet Union,1942,"6,399",France
Yakovlev Yak-9,Soviet Union,1942,"16,769",France
Type,Origin,Introduced,Total,Operators
Blackburn Roc,United Kingdom,1939,136,
Blackburn Skua,United Kingdom,1938,192,
Boulton Paul Defiant,United Kingdom,1939,"1,064","Canada, Polish exile forces"
Bristol Beaufighter,United Kingdom,1940,"5,928","Australia, Canada, South Africa, United States"
Bristol Blenheim,United Kingdom,1937,"4,422",Canada
de Havilland Mosquito,United Kingdom,1941,"7,781","Australia, Canada, New Zealand, United States"
Dornier Do 215,Germany,1939,105,Hungary
Dornier Do 217,Germany,1941,"1,925",Italy
Dornier Do 335,Germany,1944,37,
Fairey Firefly,United Kingdom,1941,"1,072",
Fairey Fulmar,United Kingdom,1940,600,
Focke-Wulf Ta 154,Germany,1944,28,
Fokker G.I,Netherlands,1939,63,
Grumman F7F Tigercat,United States,1944,364,
Heinkel He 219,Germany,1943,300,
IMAM Ro.57,Italy,1943,51,
Junkers Ju 88,Germany,1940,"15,183",
Junkers Ju 388,Germany,1944,100,
Kawasaki Ki-45,Japan,1942,"1,701",
Kawasaki Ki-102,Japan,1945,238,
Lockheed P-38 Lightning,United States,1941,"10,037",China
Messerschmitt Bf 110,Germany,1937,"6,170","Croatia, Hungary, Italy, Iraq, Romania"
Messerschmitt Me 210,Germany,1943,357,Hungary
Messerschmitt Me 410,Germany,1943,"1,189",Hungary
Mitsubishi Ki-109,Japan,1945,22,
Nakajima J1N Gekkō,Japan,1942,479,
Northrop P-61 Black Widow,United States,1944,706,
Petlyakov Pe-3,Soviet Union,1941,360,Finland
Potez 630,France,1938,"1,395","Greece, Romania"
Westland Welkin,United Kingdom,1944,77,
Westland Whirlwind,United Kingdom,1940,114,
